,mota,motp,idf1,num_switches,num_frames
MOT17-02-DPM,0.10675599106755995,0.2384480140142143,0.24645469826463695,117,600
MOT17-04-DPM,0.1792787370955048,0.19369233604353156,0.28615838406038085,108,1050
MOT17-05-DPM,-1.0062398602271307,0.25764401418293204,0.304641798981995,266,837
MOT17-09-DPM,0.045816924406877346,0.22647399836159726,0.3183171645375084,110,525
MOT17-10-DPM,-0.17106017191977085,0.25654219777299003,0.2446940618649808,379,654
MOT17-11-DPM,-0.23547141377036818,0.1708543729235697,0.39488145102409405,50,900
MOT17-13-DPM,-0.46648846648846654,0.26284898951043195,0.1407223233281214,709,750
